WKT;ID;CODIGO;NOMOFICIAL;ALT_IZQINI;ALT_IZQFIN;ALT_DERINI;ALT_DERFIN;NOMANTER;TIPO_C;LONG;OBSERVA;NOM_MAPA;SENTIDO;COD_SENT;BICISENDA;LADO_CICLO;RECORRID_X;CICLO_OBSE;TOOLTIP_BI
LINESTRING (-58.438602625524723 -34.545953811820553,-58.438559030177721 -34.545688739606753,-58.438555191883225 -34.54534247856386);377;7105;GUIRALDES, INT.;2672;2720;2671;2719;;CALLE;66.71;corrección nombre;INT. GUIRALDES;DOBLE;2;Ciclovías en obra;;;;Ciclovía en obra
LINESTRING (-58.429216014938248 -34.550846455113977,-58.42968974178789 -34.550522849301558);896;16003;OBLIGADO RAFAEL, Av.Costanera;6182;6200;6181;6199;COSTANERA NORTE, Av.;AVENIDA;56.38;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.426901681539753 -34.551970216714203,-58.428480308250812 -34.551283268733457);1035;16003;OBLIGADO RAFAEL, Av.Costanera;5992;6100;5991;6099;COSTANERA NORTE, Av.;AVENIDA;163.71;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.426023872610088 -34.552297858641744,-58.426901681539753 -34.551970216714203);1079;16003;OBLIGADO RAFAEL, Av.Costanera;5902;5990;5901;5989;COSTANERA NORTE, Av.;AVENIDA;88.39;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.423578934014273 -34.553126151986341,-58.424108781529931 -34.552946381607768,-58.424809103629876 -34.55273208518615,-58.426023872610088 -34.552297858641744);1181;16003;OBLIGADO RAFAEL, Av.Costanera;5502;5900;5501;5899;COSTANERA NORTE, Av.;AVENIDA;242.56;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.411169536898377 -34.557681972465453,-58.412106875812704 -34.55703242770862,-58.412791817781752 -34.556603393541103,-58.413768264828029 -34.556073453381181);1724;16003;OBLIGADO RAFAEL, Av.Costanera;4202;4500;4201;4499;COSTANERA NORTE, Av.;AVENIDA;297.26;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.4097778347315 -34.55878448067601,-58.410585461502727 -34.5581408541548,-58.411169536898377 -34.557681972465453);1828;16003;OBLIGADO RAFAEL, Av.Costanera;3452;4200;3451;4199;COSTANERA NORTE, Av.;AVENIDA;175.93;;AV.COSTANERA RAFAEL OBLIGADO;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.423368361538806 -34.562678558040204,-58.423573603000968 -34.562407230978586,-58.423722541811983 -34.562233266719602,-58.423902350039356 -34.562017009361888);2235;6025;FIGUEROA ALCORTA, PRES. AV.;5382;5400;5381;5399;CENTENARIO, Av.;AVENIDA;88.27;;AV.PRES. FIGUEROA ALCORTA;CRECIENTE;1;Ciclovías;;;;Ciclovía
LINESTRING (-58.422599920307377 -34.564036678042584,-58.422781140416831 -34.563732780342463,-58.42327466029559 -34.562801491018881,-58.423368361538806 -34.562678558040204);2387;6025;FIGUEROA ALCORTA, PRES. AV.;5302;5380;5301;5379;CENTENARIO, Av.;AVENIDA;166.51;;AV.PRES. FIGUEROA ALCORTA;DOBLE;2;Ciclovías;;;;Ciclovía
LINESTRING (-58.42058428795859 -34.580794114441773,-58.417267953722373 -34.577349467774653);4846;20075;SARMIENTO AV.;2602;3100;2601;3099;;AVENIDA;488.48;corrección numeración 22-1;AV. SARMIENTO;DOBLE;2;Ciclovías;Mano izquierda;Vereda;;Ciclovía
